Наименование	Ссылка	Значение	Представление	ОтборЗначений
e9d59420-dd41-11e8-83dc-485ab6090f00	e9d59423-dd41-11e8-83dc-485ab6090f00	-BadRefNone	Не изменять	
e9d59424-dd41-11e8-83dc-485ab6090f00	e9d59425-dd41-11e8-83dc-485ab6090f00	-BadDataCreate	Создавать объекты	
e9d59424-dd41-11e8-83dc-485ab6090f00	e9d59426-dd41-11e8-83dc-485ab6090f00	-BadDataDelete	Удалять объекты	
e9d59434-dd41-11e8-83dc-485ab6090f00	e9d59435-dd41-11e8-83dc-485ab6090f00	-IncludeObjectsByUnresolvedRefs	Пометить для объединения	
e9d59434-dd41-11e8-83dc-485ab6090f00	e9d59436-dd41-11e8-83dc-485ab6090f00	-ClearUnresolvedRefs	Очищать	
e9d5943f-dd41-11e8-83dc-485ab6090f00	e9d59440-dd41-11e8-83dc-485ab6090f00	-Auto	Авто	
e9d5943f-dd41-11e8-83dc-485ab6090f00	e9d59441-dd41-11e8-83dc-485ab6090f00	-UpdateAutomatically	Обновлять при реструктуризации	
e9d5943f-dd41-11e8-83dc-485ab6090f00	e9d59442-dd41-11e8-83dc-485ab6090f00	-DoNotUpdateAutomatically	Не обновлять при реструктуризации	
e9d59450-dd41-11e8-83dc-485ab6090f00	e9d59451-dd41-11e8-83dc-485ab6090f00	Полный	Полный	
e9d5945e-dd41-11e8-83dc-485ab6090f00	e9d5945f-dd41-11e8-83dc-485ab6090f00	ObjectNotEditable	Объект поставщика не редактируется	
e9d5945e-dd41-11e8-83dc-485ab6090f00	e9d59460-dd41-11e8-83dc-485ab6090f00	ObjectIsEditableSupportEnabled	Объект поставщика редактируется с сохранением поддержки	
e9d5945e-dd41-11e8-83dc-485ab6090f00	e9d59461-dd41-11e8-83dc-485ab6090f00	ObjectNotSupported	 Объект поставщика снят с поддержки	
e9d59462-dd41-11e8-83dc-485ab6090f00	e9d59463-dd41-11e8-83dc-485ab6090f00	ObjectNotEditable	Объект поставщика не редактируется	
e9d59462-dd41-11e8-83dc-485ab6090f00	e9d59464-dd41-11e8-83dc-485ab6090f00	ObjectIsEditableSupportEnabled	Объект поставщика редактируется с сохранением поддержки	
e9d59462-dd41-11e8-83dc-485ab6090f00	e9d59465-dd41-11e8-83dc-485ab6090f00	ObjectNotSupported	 Объект поставщика снят с поддержки	
e9d59469-dd41-11e8-83dc-485ab6090f00	e9d5946a-dd41-11e8-83dc-485ab6090f00	ReadOnly	Право на просмотр	
e9d59469-dd41-11e8-83dc-485ab6090f00	e9d5946b-dd41-11e8-83dc-485ab6090f00	LockObjects	Право на захват объектов	
